Method,Mean_Loss,MCS_pvalue,In_MCS,Elimination_Step
var_error,0.8648515163315199,1.0,True,0
full_gcsr_softmax,1.7216125769472121,0.06,False,11
full_gcsr_eigenvector,1.7919876913159198,0.06,False,10
full_gcsr_pagerank,2.165672381986799,0.06,False,9
graph_only_softmax,2.5470310330646626,0.06,False,8
graph_only_eigenvector,2.8881722946480544,0.01,False,7
rs_selection,3.450158443225109,0.01,False,4
rs_selection_v2,3.4529565753280616,0.01,False,6
recent_best,3.517704992725362,0.01,False,5
graph_only_pagerank,4.141863965816484,0.01,False,3
bates_granger_mv,10.34728098735161,0.0,False,2
equal,10.993749348549441,0.0,False,1
