oos_period,variant,row_model,col_model,adjacency
150,legacy,1,1,0.0
150,legacy,1,2,0.0
150,legacy,1,3,0.07427030103465125
150,legacy,1,4,0.2663091539015252
150,legacy,1,5,0.0
150,legacy,1,6,0.0
150,legacy,1,7,1.4631053233764406
150,legacy,1,8,0.0
150,legacy,2,1,0.4838517424415154
150,legacy,2,2,0.0
150,legacy,2,3,0.9380005747622132
150,legacy,2,4,1.0061839500658163
150,legacy,2,5,0.0
150,legacy,2,6,0.06604728988655122
150,legacy,2,7,1.5974429074125374
150,legacy,2,8,0.0
150,legacy,3,1,0.0
150,legacy,3,2,0.0
150,legacy,3,3,0.0
150,legacy,3,4,0.13973723358635018
150,legacy,3,5,0.0
150,legacy,3,6,0.0
150,legacy,3,7,0.3795080790191972
150,legacy,3,8,1.2694725249616454
150,legacy,4,1,0.0
150,legacy,4,2,0.0
150,legacy,4,3,0.0
150,legacy,4,4,0.0
150,legacy,4,5,0.0
150,legacy,4,6,0.0
150,legacy,4,7,0.4891459811801459
150,legacy,4,8,0.0
150,legacy,5,1,0.7180262822087728
150,legacy,5,2,2.280011328290989
150,legacy,5,3,0.3018986828296667
150,legacy,5,4,1.0496643300871225
150,legacy,5,5,0.0
150,legacy,5,6,0.7801819371538131
150,legacy,5,7,0.5562308043460221
150,legacy,5,8,1.251755761806895
150,legacy,6,1,0.37419625782245175
150,legacy,6,2,0.0
150,legacy,6,3,0.7428183274959547
150,legacy,6,4,0.6693011744630757
150,legacy,6,5,0.0
150,legacy,6,6,0.0
150,legacy,6,7,1.0587805452902763
150,legacy,6,8,0.0
150,legacy,7,1,0.0
150,legacy,7,2,0.0
150,legacy,7,3,0.0
150,legacy,7,4,0.0
150,legacy,7,5,0.0
150,legacy,7,6,0.0
150,legacy,7,7,0.0
150,legacy,7,8,0.0
150,legacy,8,1,3.6215099733543457
150,legacy,8,2,0.07460657042892083
150,legacy,8,3,0.0
150,legacy,8,4,1.0985251042753226
150,legacy,8,5,0.0
150,legacy,8,6,3.030531780598755
150,legacy,8,7,0.19242090257358196
150,legacy,8,8,0.0
151,legacy,1,1,0.0
151,legacy,1,2,0.018221530394890047
151,legacy,1,3,1.554902302769291
151,legacy,1,4,0.31718308338346374
151,legacy,1,5,0.0
151,legacy,1,6,0.0
151,legacy,1,7,0.4824910777370106
151,legacy,1,8,0.3108396810470506
151,legacy,2,1,0.0
151,legacy,2,2,0.0
151,legacy,2,3,2.6283872499472043
151,legacy,2,4,0.8925733330093009
151,legacy,2,5,21165.36943701133
151,legacy,2,6,0.0
151,legacy,2,7,0.41527447510858595
151,legacy,2,8,1.328093702258899
151,legacy,3,1,0.0
151,legacy,3,2,0.0
151,legacy,3,3,0.0
151,legacy,3,4,0.0
151,legacy,3,5,0.0
151,legacy,3,6,0.0
151,legacy,3,7,0.7996443662853091
151,legacy,3,8,1.0230290214309121
151,legacy,4,1,0.0
151,legacy,4,2,0.0
151,legacy,4,3,1.375296537250258
151,legacy,4,4,0.0
151,legacy,4,5,0.0
151,legacy,4,6,0.0
151,legacy,4,7,0.19175433977423534
151,legacy,4,8,0.005986692686678837
151,legacy,5,1,0.22663466163961712
151,legacy,5,2,0.0
151,legacy,5,3,0.7179965990138872
151,legacy,5,4,0.5182326476324389
151,legacy,5,5,0.0
151,legacy,5,6,0.0
151,legacy,5,7,0.49035400038333443
151,legacy,5,8,0.8510962040900809
151,legacy,6,1,0.36096758052350747
151,legacy,6,2,0.35483408506037234
151,legacy,6,3,3.1751003770324324
151,legacy,6,4,0.6055083878441889
151,legacy,6,5,0.235413354632722
151,legacy,6,6,0.0
151,legacy,6,7,0.6514987542054858
151,legacy,6,8,0.7161333785103818
151,legacy,7,1,0.0
151,legacy,7,2,0.0
151,legacy,7,3,0.0
151,legacy,7,4,0.0
151,legacy,7,5,0.0
151,legacy,7,6,0.0
151,legacy,7,7,0.0
151,legacy,7,8,0.0
151,legacy,8,1,0.0
151,legacy,8,2,0.0
151,legacy,8,3,0.0
151,legacy,8,4,0.0
151,legacy,8,5,0.0
151,legacy,8,6,0.0
151,legacy,8,7,0.14467792954863792
151,legacy,8,8,0.0
152,legacy,1,1,0.0
152,legacy,1,2,0.0
152,legacy,1,3,0.3448866315070876
152,legacy,1,4,0.30140223068292943
152,legacy,1,5,0.0
152,legacy,1,6,0.0
152,legacy,1,7,0.35606926692829377
152,legacy,1,8,0.39720315928509875
152,legacy,2,1,0.11182969870494663
152,legacy,2,2,0.0
152,legacy,2,3,0.6492848565865211
152,legacy,2,4,0.4174488593358017
152,legacy,2,5,4.379134971365947
152,legacy,2,6,0.0
152,legacy,2,7,0.34681565832533195
152,legacy,2,8,0.645562785098643
152,legacy,3,1,0.0
152,legacy,3,2,0.0
152,legacy,3,3,0.0
152,legacy,3,4,0.0
152,legacy,3,5,0.0
152,legacy,3,6,0.0
152,legacy,3,7,0.0
152,legacy,3,8,0.0
152,legacy,4,1,0.0
152,legacy,4,2,0.0
152,legacy,4,3,0.14656961475601316
152,legacy,4,4,0.0
152,legacy,4,5,0.0
152,legacy,4,6,0.0
152,legacy,4,7,0.11947229875594037
