oos_period,row_model,col_model,adjacency_matrice
20,1,1,0.0
20,1,2,9010.063444897738
20,1,3,6.354453763430312
20,1,4,19749.638350759946
20,2,1,0.0
20,2,2,0.0
20,2,3,2.0792071010170017
20,2,4,6192.130836046736
20,3,1,0.0
20,3,2,0.0
20,3,3,0.0
20,3,4,3.677038965076831
20,4,1,0.0
20,4,2,0.0
20,4,3,0.0
20,4,4,0.0
21,1,1,0.0
21,1,2,8.04420261375019
21,1,3,1.9954613150990204
21,1,4,3465.3465346534435
21,2,1,0.0
21,2,2,0.0
21,2,3,0.0
21,2,4,0.0
21,3,1,0.0
21,3,2,27447.897018609237
21,3,3,0.0
21,3,4,6.91791277165481
21,4,1,0.0
21,4,2,10354.49287502745
21,4,3,0.0
21,4,4,0.0
22,1,1,0.0
22,1,2,1.1705585792503983
22,1,3,2.5104074622451082
22,1,4,95.88437931738993
22,2,1,0.0
22,2,2,0.0
22,2,3,0.3205684309675348
22,2,4,0.12792343426043676
22,3,1,0.0
22,3,2,0.0
22,3,3,0.0
22,3,4,938.6580468844425
22,4,1,0.0
22,4,2,0.0
22,4,3,0.0
22,4,4,0.0
23,1,1,0.0
23,1,2,0.0
23,1,3,0.0
23,1,4,0.0
23,2,1,14561.492916953106
23,2,2,0.0
23,2,3,0.3281911121205747
23,2,4,18019.444569233707
23,3,1,150.4192174359881
23,3,2,0.0
23,3,3,0.0
23,3,4,4.785945880675234
23,4,1,93139.35318024816
23,4,2,0.0
23,4,3,0.0
23,4,4,0.0
24,1,1,0.0
24,1,2,386.7271402831983
24,1,3,0.0
24,1,4,0.0
24,2,1,0.0
24,2,2,0.0
24,2,3,0.27504720319963893
24,2,4,0.0
24,3,1,0.03387360357110501
24,3,2,0.0
24,3,3,0.0
24,3,4,0.03996655424524791
24,4,1,0.0
24,4,2,386.7271402831983
24,4,3,0.0
24,4,4,0.0
25,1,1,0.0
25,1,2,0.0
25,1,3,0.0
25,1,4,0.0
25,2,1,448.56668582029016
25,2,2,0.0
25,2,3,0.0
25,2,4,25881.151475286828
25,3,1,34.21955623545138
25,3,2,0.09659283655711076
25,3,3,0.0
25,3,4,0.0
25,4,1,2152.546444355146
25,4,2,0.0
25,4,3,388.51203550399305
25,4,4,0.0
26,1,1,0.0
26,1,2,0.0
26,1,3,685.3282178661847
26,1,4,0.0
26,2,1,419.26411493692837
26,2,2,0.0
26,2,3,0.0
26,2,4,0.0
26,3,1,0.0
26,3,2,2103.2315765020626
26,3,3,0.0
26,3,4,0.0
26,4,1,0.0
26,4,2,0.0
26,4,3,1.361369398892726
26,4,4,0.0
27,1,1,0.0
27,1,2,1760.0514937904695
27,1,3,39.15958813994313
27,1,4,133.37219330810387
27,2,1,0.0
27,2,2,0.0
27,2,3,0.0
27,2,4,0.0
27,3,1,0.0
27,3,2,2267.163545665742
27,3,3,0.0
27,3,4,33.06597762353978
27,4,1,0.0
27,4,2,265.6393905512346
27,4,3,0.0
27,4,4,0.0
28,1,1,0.0
28,1,2,9.832477616443406
28,1,3,0.0
28,1,4,1093.0332483998466
28,2,1,0.0
28,2,2,0.0
28,2,3,0.0
28,2,4,2795.972653104729
28,3,1,3216.6633199980843
28,3,2,3161.773408799068
28,3,3,0.0
28,3,4,2985.18814251636
28,4,1,0.0
28,4,2,0.0
28,4,3,0.0
28,4,4,0.0
29,1,1,0.0
29,1,2,0.0
29,1,3,0.0
29,1,4,545.7452037559614
29,2,1,0.6947106529277018
29,2,2,0.0
29,2,3,0.0
29,2,4,6590.680334328896
29,3,1,567.5365613676704
29,3,2,1875.4814703493091
29,3,3,0.0
29,3,4,0.0
29,4,1,0.0
29,4,2,0.0
29,4,3,20788.50111093517
29,4,4,0.0
30,1,1,0.0
30,1,2,0.0
30,1,3,0.24439822252775445
30,1,4,0.0
30,2,1,1521.360066633548
30,2,2,0.0
30,2,3,0.0
30,2,4,0.0
30,3,1,0.0
30,3,2,1143.667315422882
30,3,3,0.0
30,3,4,0.01804384115538037
30,4,1,687.633886650329
30,4,2,0.0
30,4,3,0.0
30,4,4,0.0
31,1,1,0.0
31,1,2,0.0
31,1,3,0.0
31,1,4,0.0
31,2,1,1794.70224523657
31,2,2,0.0
31,2,3,0.0
31,2,4,0.0
31,3,1,0.0
31,3,2,0.11954800059432356
31,3,3,0.0
31,3,4,0.0
31,4,1,81.68975306334195
31,4,2,219.80198019801966
31,4,3,81.68975306334195
31,4,4,0.0
32,1,1,0.0
32,1,2,1.2456031070901576
32,1,3,1.165200581584882e-14
32,1,4,1.1274161204621943e-14
32,2,1,0.0
32,2,2,0.0
32,2,3,0.0
32,2,4,109.90099009901014
32,3,1,0.0
32,3,2,0.04286230782112237
32,3,3,0.0
32,3,4,6.832407522943874e-14
32,4,1,0.0
32,4,2,0.0
32,4,3,0.0
32,4,4,0.0
33,1,1,0.0
33,1,2,0.0
33,1,3,0.0
33,1,4,0.0
33,2,1,4.6309565559489805
33,2,2,0.0
33,2,3,1310.1681803855347
33,2,4,0.0
33,3,1,568.0177616170763
33,3,2,0.0
33,3,3,0.0
33,3,4,0.0
33,4,1,1776.261927563215
33,4,2,2970.297029702976
33,4,3,1.0942988713063757
33,4,4,0.0
34,1,1,0.0
34,1,2,0.0
34,1,3,0.0
34,1,4,384.7622886221527
34,2,1,0.8165127104616262
34,2,2,0.0
34,2,3,0.3923152743210029
34,2,4,384.7622886221527
34,3,1,346.68539258920777
34,3,2,0.0
34,3,3,0.0
34,3,4,0.0
34,4,1,0.0
34,4,2,0.0
34,4,3,0.03809176835417904
34,4,4,0.0
35,1,1,0.0
35,1,2,88.96598203297857
35,1,3,2.0745106019409496
35,1,4,5340.029133854299
35,2,1,0.0
35,2,2,0.0
35,2,3,0.6194518833518973
35,2,4,11686.79400296595
35,3,1,0.0
35,3,2,0.0
35,3,3,0.0
35,3,4,3794.227711941328
35,4,1,0.0
35,4,2,0.0
35,4,3,0.0
35,4,4,0.0
36,1,1,0.0
36,1,2,0.0
36,1,3,0.0
36,1,4,2.237123428924698
36,2,1,2785.102796224426
36,2,2,0.0
36,2,3,0.6903976206221416
36,2,4,4565.8316246918575
36,3,1,1.1314390894273185
36,3,2,0.0
36,3,3,0.0
36,3,4,7630.289932522695
36,4,1,0.0
36,4,2,0.0
36,4,3,0.0
36,4,4,0.0
37,1,1,0.0
37,1,2,0.0
37,1,3,0.0
37,1,4,8.953922527366572
37,2,1,0.1391084606172819
37,2,2,0.0
37,2,3,0.4361014558449469
37,2,4,5.579874016561227
37,3,1,7899.296210755237
37,3,2,0.0
37,3,3,0.0
37,3,4,3.728251924697309
37,4,1,0.0
37,4,2,0.0
37,4,3,0.0
37,4,4,0.0
38,1,1,0.0
38,1,2,0.0
38,1,3,0.0875209529380335
38,1,4,2325.4765294366853
38,2,1,0.17688972189299026
38,2,2,0.0
38,2,3,0.0
38,2,4,2.4055153837573027
38,3,1,0.0
38,3,2,0.6521285543250095
38,3,3,0.0
38,3,4,0.14121852862391585
38,4,1,0.0
38,4,2,0.0
38,4,3,0.0
38,4,4,0.0
39,1,1,0.0
39,1,2,0.0
39,1,3,0.0
39,1,4,0.0
39,2,1,4.3180021021423665
39,2,2,0.0
39,2,3,0.4143885407367746
39,2,4,0.0
39,3,1,6612.119327429282
39,3,2,0.0
39,3,3,0.0
39,3,4,0.0
39,4,1,36378.96060501615
39,4,2,0.014173319330499028
39,4,3,8331.350495078688
39,4,4,0.0
40,1,1,0.0
40,1,2,0.0
40,1,3,0.0
40,1,4,27.502750275027097
40,2,1,0.05529398111069005
40,2,2,0.0
40,2,3,0.35882750324623436
40,2,4,0.0
40,3,1,3.5584947364582153
40,3,2,0.0
40,3,3,0.0
40,3,4,0.0
