oos_period,row_model,col_model,sigma_matrice
20,1,1,0.0
20,1,2,1e-06
20,1,3,1e-06
20,1,4,1e-06
20,1,5,1e-06
20,1,6,1e-06
20,1,7,1e-06
20,1,8,1e-06
20,1,9,1e-06
20,1,10,1e-06
20,1,11,0.02423707014784375
20,2,1,1e-06
20,2,2,0.0
20,2,3,1e-06
20,2,4,1e-06
20,2,5,1e-06
20,2,6,1e-06
20,2,7,1e-06
20,2,8,1e-06
20,2,9,1e-06
20,2,10,1e-06
20,2,11,1e-06
20,3,1,1e-06
20,3,2,1e-06
20,3,3,0.0
20,3,4,1e-06
20,3,5,1e-06
20,3,6,1e-06
20,3,7,1e-06
20,3,8,1e-06
20,3,9,1e-06
20,3,10,1e-06
20,3,11,1e-06
20,4,1,1e-06
20,4,2,1e-06
20,4,3,1e-06
20,4,4,0.0
20,4,5,1e-06
20,4,6,0.2761999043600436
20,4,7,0.046000494376924064
20,4,8,1e-06
20,4,9,1e-06
20,4,10,1e-06
20,4,11,1e-06
20,5,1,1e-06
20,5,2,1e-06
20,5,3,1e-06
20,5,4,1e-06
20,5,5,0.0
20,5,6,0.10262701507531863
20,5,7,1e-06
20,5,8,1e-06
20,5,9,1e-06
20,5,10,1e-06
20,5,11,1e-06
20,6,1,1e-06
20,6,2,1e-06
20,6,3,1e-06
20,6,4,0.2761999043600436
20,6,5,0.10262701507531863
20,6,6,0.0
20,6,7,1e-06
20,6,8,1e-06
20,6,9,1e-06
20,6,10,1e-06
20,6,11,0.28866757612464355
20,7,1,1e-06
20,7,2,1e-06
20,7,3,1e-06
20,7,4,0.046000494376924064
20,7,5,1e-06
20,7,6,1e-06
20,7,7,0.0
20,7,8,1e-06
20,7,9,1e-06
20,7,10,1e-06
20,7,11,1e-06
20,8,1,1e-06
20,8,2,1e-06
20,8,3,1e-06
20,8,4,1e-06
20,8,5,1e-06
20,8,6,1e-06
20,8,7,1e-06
20,8,8,0.0
20,8,9,1e-06
20,8,10,1e-06
20,8,11,1e-06
20,9,1,1e-06
20,9,2,1e-06
20,9,3,1e-06
20,9,4,1e-06
20,9,5,1e-06
20,9,6,1e-06
20,9,7,1e-06
20,9,8,1e-06
20,9,9,0.0
20,9,10,1e-06
20,9,11,1e-06
20,10,1,1e-06
20,10,2,1e-06
20,10,3,1e-06
20,10,4,1e-06
20,10,5,1e-06
20,10,6,1e-06
20,10,7,1e-06
20,10,8,1e-06
20,10,9,1e-06
20,10,10,0.0
20,10,11,1e-06
20,11,1,0.02423707014784375
20,11,2,1e-06
20,11,3,1e-06
20,11,4,1e-06
20,11,5,1e-06
20,11,6,0.28866757612464355
20,11,7,1e-06
20,11,8,1e-06
20,11,9,1e-06
20,11,10,1e-06
20,11,11,0.0
21,1,1,0.0
21,1,2,1e-06
21,1,3,1e-06
21,1,4,1e-06
21,1,5,1e-06
21,1,6,1e-06
21,1,7,1e-06
21,1,8,1e-06
21,1,9,1e-06
21,1,10,1e-06
21,1,11,0.19142541363722065
21,2,1,1e-06
21,2,2,0.0
21,2,3,1e-06
21,2,4,1e-06
21,2,5,1e-06
21,2,6,1e-06
21,2,7,1e-06
21,2,8,1e-06
21,2,9,1e-06
21,2,10,1e-06
21,2,11,1e-06
21,3,1,1e-06
21,3,2,1e-06
21,3,3,0.0
21,3,4,1e-06
21,3,5,1e-06
21,3,6,1e-06
21,3,7,1e-06
21,3,8,1e-06
21,3,9,1e-06
21,3,10,1e-06
21,3,11,1e-06
21,4,1,1e-06
21,4,2,1e-06
21,4,3,1e-06
21,4,4,0.0
21,4,5,1e-06
21,4,6,0.1867240987950774
21,4,7,1e-06
21,4,8,1e-06
21,4,9,1e-06
21,4,10,0.07621152771829294
21,4,11,1e-06
21,5,1,1e-06
21,5,2,1e-06
21,5,3,1e-06
21,5,4,1e-06
21,5,5,0.0
21,5,6,1e-06
21,5,7,1e-06
21,5,8,1e-06
21,5,9,1e-06
21,5,10,1e-06
21,5,11,1e-06
21,6,1,1e-06
21,6,2,1e-06
21,6,3,1e-06
21,6,4,0.1867240987950774
21,6,5,1e-06
21,6,6,0.0
21,6,7,1e-06
21,6,8,1e-06
21,6,9,1e-06
21,6,10,1e-06
21,6,11,1e-06
21,7,1,1e-06
21,7,2,1e-06
21,7,3,1e-06
21,7,4,1e-06
21,7,5,1e-06
21,7,6,1e-06
21,7,7,0.0
21,7,8,1e-06
21,7,9,1e-06
21,7,10,1e-06
21,7,11,1e-06
21,8,1,1e-06
21,8,2,1e-06
21,8,3,1e-06
21,8,4,1e-06
21,8,5,1e-06
21,8,6,1e-06
21,8,7,1e-06
21,8,8,0.0
21,8,9,1e-06
21,8,10,1e-06
21,8,11,0.19006964412972618
21,9,1,1e-06
21,9,2,1e-06
21,9,3,1e-06
21,9,4,1e-06
21,9,5,1e-06
21,9,6,1e-06
21,9,7,1e-06
21,9,8,1e-06
21,9,9,0.0
21,9,10,1e-06
21,9,11,1e-06
21,10,1,1e-06
21,10,2,1e-06
21,10,3,1e-06
21,10,4,0.07621152771829294
21,10,5,1e-06
21,10,6,1e-06
21,10,7,1e-06
21,10,8,1e-06
21,10,9,1e-06
21,10,10,0.0
21,10,11,1e-06
21,11,1,0.19142541363722065
21,11,2,1e-06
21,11,3,1e-06
21,11,4,1e-06
21,11,5,1e-06
21,11,6,1e-06
21,11,7,1e-06
21,11,8,0.19006964412972618
21,11,9,1e-06
21,11,10,1e-06
21,11,11,0.0
22,1,1,0.0
22,1,2,0.003642789315654131
22,1,3,1e-06
22,1,4,1e-06
22,1,5,1e-06
22,1,6,1e-06
22,1,7,1e-06
22,1,8,1e-06
22,1,9,1e-06
22,1,10,1e-06
22,1,11,1e-06
22,2,1,0.003642789315654131
22,2,2,0.0
22,2,3,1e-06
22,2,4,1e-06
22,2,5,1e-06
22,2,6,1e-06
22,2,7,0.021915636533715317
22,2,8,1e-06
22,2,9,1e-06
22,2,10,1e-06
22,2,11,1e-06
22,3,1,1e-06
22,3,2,1e-06
22,3,3,0.0
22,3,4,1e-06
22,3,5,1e-06
22,3,6,1e-06
22,3,7,1e-06
22,3,8,1e-06
22,3,9,1e-06
22,3,10,1e-06
22,3,11,1e-06
22,4,1,1e-06
22,4,2,1e-06
22,4,3,1e-06
22,4,4,0.0
22,4,5,0.023590003592934724
22,4,6,0.05744493886688997
22,4,7,1e-06
22,4,8,1e-06
22,4,9,1e-06
22,4,10,1e-06
22,4,11,1e-06
22,5,1,1e-06
22,5,2,1e-06
22,5,3,1e-06
22,5,4,0.023590003592934724
22,5,5,0.0
22,5,6,1e-06
22,5,7,1e-06
22,5,8,1e-06
22,5,9,1e-06
22,5,10,1e-06
22,5,11,1e-06
22,6,1,1e-06
22,6,2,1e-06
22,6,3,1e-06
22,6,4,0.05744493886688997
22,6,5,1e-06
22,6,6,0.0
22,6,7,1e-06
22,6,8,1e-06
22,6,9,1e-06
22,6,10,0.02713154293262408
22,6,11,1e-06
22,7,1,1e-06
22,7,2,0.021915636533715317
22,7,3,1e-06
22,7,4,1e-06
22,7,5,1e-06
22,7,6,1e-06
22,7,7,0.0
22,7,8,1e-06
22,7,9,1e-06
22,7,10,1e-06
22,7,11,1e-06
22,8,1,1e-06
22,8,2,1e-06
22,8,3,1e-06
22,8,4,1e-06
22,8,5,1e-06
22,8,6,1e-06
22,8,7,1e-06
22,8,8,0.0
22,8,9,1e-06
22,8,10,1e-06
22,8,11,1e-06
22,9,1,1e-06
22,9,2,1e-06
22,9,3,1e-06
22,9,4,1e-06
22,9,5,1e-06
22,9,6,1e-06
22,9,7,1e-06
22,9,8,1e-06
22,9,9,0.0
22,9,10,1e-06
22,9,11,1e-06
22,10,1,1e-06
22,10,2,1e-06
22,10,3,1e-06
22,10,4,1e-06
22,10,5,1e-06
22,10,6,0.02713154293262408
22,10,7,1e-06
22,10,8,1e-06
22,10,9,1e-06
22,10,10,0.0
22,10,11,1e-06
22,11,1,1e-06
22,11,2,1e-06
22,11,3,1e-06
22,11,4,1e-06
22,11,5,1e-06
22,11,6,1e-06
22,11,7,1e-06
22,11,8,1e-06
22,11,9,1e-06
22,11,10,1e-06
22,11,11,0.0
23,1,1,0.0
23,1,2,0.006455694334644126
23,1,3,1e-06
23,1,4,1e-06
23,1,5,0.003924092874017318
23,1,6,1e-06
23,1,7,1e-06
23,1,8,1e-06
23,1,9,1e-06
23,1,10,1e-06
23,1,11,1e-06
23,2,1,0.006455694334644126
23,2,2,0.0
23,2,3,1e-06
23,2,4,1e-06
23,2,5,0.0076094209338654645
23,2,6,1e-06
23,2,7,1e-06
23,2,8,1e-06
23,2,9,1e-06
23,2,10,1e-06
23,2,11,1e-06
23,3,1,1e-06
23,3,2,1e-06
23,3,3,0.0
23,3,4,1e-06
23,3,5,1e-06
23,3,6,1e-06
23,3,7,1e-06
23,3,8,1e-06
23,3,9,1e-06
23,3,10,1e-06
23,3,11,1e-06
23,4,1,1e-06
23,4,2,1e-06
23,4,3,1e-06
23,4,4,0.0
23,4,5,1e-06
23,4,6,1e-06
23,4,7,1e-06
23,4,8,1e-06
23,4,9,1e-06
23,4,10,0.027677319479313286
23,4,11,1e-06
23,5,1,0.003924092874017318
23,5,2,0.0076094209338654645
23,5,3,1e-06
23,5,4,1e-06
23,5,5,0.0
23,5,6,1e-06
23,5,7,1e-06
23,5,8,1e-06
23,5,9,1e-06
23,5,10,1e-06
23,5,11,1e-06
23,6,1,1e-06
23,6,2,1e-06
23,6,3,1e-06
23,6,4,1e-06
23,6,5,1e-06
23,6,6,0.0
23,6,7,1e-06
23,6,8,1e-06
23,6,9,1e-06
23,6,10,1e-06
23,6,11,1e-06
23,7,1,1e-06
23,7,2,1e-06
23,7,3,1e-06
23,7,4,1e-06
23,7,5,1e-06
23,7,6,1e-06
23,7,7,0.0
23,7,8,1e-06
23,7,9,1e-06
23,7,10,1e-06
23,7,11,1e-06
23,8,1,1e-06
23,8,2,1e-06
23,8,3,1e-06
23,8,4,1e-06
23,8,5,1e-06
23,8,6,1e-06
23,8,7,1e-06
23,8,8,0.0
23,8,9,1e-06
23,8,10,1e-06
23,8,11,1e-06
23,9,1,1e-06
23,9,2,1e-06
23,9,3,1e-06
23,9,4,1e-06
23,9,5,1e-06
23,9,6,1e-06
23,9,7,1e-06
23,9,8,1e-06
23,9,9,0.0
23,9,10,1e-06
23,9,11,1e-06
23,10,1,1e-06
23,10,2,1e-06
23,10,3,1e-06
23,10,4,0.027677319479313286
23,10,5,1e-06
23,10,6,1e-06
23,10,7,1e-06
23,10,8,1e-06
23,10,9,1e-06
23,10,10,0.0
23,10,11,1e-06
23,11,1,1e-06
23,11,2,1e-06
23,11,3,1e-06
23,11,4,1e-06
23,11,5,1e-06
23,11,6,1e-06
23,11,7,1e-06
23,11,8,1e-06
23,11,9,1e-06
23,11,10,1e-06
23,11,11,0.0
24,1,1,0.0
24,1,2,1e-06
24,1,3,1e-06
24,1,4,1e-06
24,1,5,0.03467714819385603
24,1,6,1e-06
24,1,7,0.1911833576336222
24,1,8,1e-06
24,1,9,1e-06
24,1,10,1e-06
24,1,11,1e-06
24,2,1,1e-06
24,2,2,0.0
24,2,3,1e-06
24,2,4,1e-06
24,2,5,0.015570387319636239
24,2,6,1e-06
24,2,7,1e-06
24,2,8,1e-06
24,2,9,1e-06
24,2,10,1e-06
24,2,11,1e-06
24,3,1,1e-06
24,3,2,1e-06
24,3,3,0.0
24,3,4,1e-06
24,3,5,1e-06
24,3,6,1e-06
24,3,7,1e-06
24,3,8,1e-06
24,3,9,1e-06
24,3,10,1e-06
24,3,11,1e-06
24,4,1,1e-06
24,4,2,1e-06
24,4,3,1e-06
24,4,4,0.0
24,4,5,1e-06
24,4,6,1e-06
24,4,7,1e-06
24,4,8,1e-06
24,4,9,1e-06
24,4,10,1e-06
24,4,11,1e-06
24,5,1,0.03467714819385603
24,5,2,0.015570387319636239
24,5,3,1e-06
24,5,4,1e-06
24,5,5,0.0
24,5,6,0.1599114277174315
24,5,7,1e-06
24,5,8,1e-06
24,5,9,1e-06
24,5,10,1e-06
24,5,11,1e-06
24,6,1,1e-06
24,6,2,1e-06
24,6,3,1e-06
24,6,4,1e-06
24,6,5,0.1599114277174315
24,6,6,0.0
24,6,7,1e-06
24,6,8,1e-06
24,6,9,1e-06
24,6,10,1e-06
24,6,11,1e-06
24,7,1,0.1911833576336222
24,7,2,1e-06
24,7,3,1e-06
24,7,4,1e-06
24,7,5,1e-06
24,7,6,1e-06
24,7,7,0.0
24,7,8,1e-06
24,7,9,1e-06
24,7,10,1e-06
24,7,11,0.007028901858627958
24,8,1,1e-06
24,8,2,1e-06
24,8,3,1e-06
24,8,4,1e-06
24,8,5,1e-06
24,8,6,1e-06
24,8,7,1e-06
24,8,8,0.0
24,8,9,1e-06
24,8,10,1e-06
24,8,11,1e-06
24,9,1,1e-06
24,9,2,1e-06
24,9,3,1e-06
24,9,4,1e-06
24,9,5,1e-06
24,9,6,1e-06
24,9,7,1e-06
24,9,8,1e-06
24,9,9,0.0
24,9,10,1e-06
24,9,11,1e-06
24,10,1,1e-06
24,10,2,1e-06
24,10,3,1e-06
24,10,4,1e-06
24,10,5,1e-06
24,10,6,1e-06
24,10,7,1e-06
24,10,8,1e-06
24,10,9,1e-06
24,10,10,0.0
24,10,11,1e-06
24,11,1,1e-06
24,11,2,1e-06
24,11,3,1e-06
24,11,4,1e-06
24,11,5,1e-06
24,11,6,1e-06
24,11,7,0.007028901858627958
24,11,8,1e-06
24,11,9,1e-06
24,11,10,1e-06
24,11,11,0.0
25,1,1,0.0
25,1,2,1e-06
25,1,3,1e-06
25,1,4,1e-06
25,1,5,0.021944261433179436
25,1,6,1e-06
25,1,7,0.14484502726629858
25,1,8,1e-06
25,1,9,1e-06
25,1,10,1e-06
25,1,11,1e-06
25,2,1,1e-06
25,2,2,0.0
25,2,3,1e-06
25,2,4,1e-06
25,2,5,0.022055612654923312
25,2,6,1e-06
25,2,7,1e-06
25,2,8,1e-06
25,2,9,1e-06
25,2,10,1e-06
25,2,11,1e-06
25,3,1,1e-06
25,3,2,1e-06
25,3,3,0.0
25,3,4,1e-06
25,3,5,1e-06
25,3,6,1e-06
25,3,7,1e-06
25,3,8,1e-06
25,3,9,1e-06
25,3,10,1e-06
25,3,11,1e-06
25,4,1,1e-06
25,4,2,1e-06
25,4,3,1e-06
25,4,4,0.0
25,4,5,0.05519116328303264
25,4,6,1e-06
25,4,7,1e-06
25,4,8,1e-06
25,4,9,1e-06
25,4,10,0.03641882798848514
25,4,11,1e-06
25,5,1,0.021944261433179436
25,5,2,0.022055612654923312
25,5,3,1e-06
25,5,4,0.05519116328303264
25,5,5,0.0
25,5,6,0.07560159553115976
25,5,7,1e-06
25,5,8,1e-06
25,5,9,1e-06
25,5,10,1e-06
25,5,11,1e-06
25,6,1,1e-06
25,6,2,1e-06
25,6,3,1e-06
25,6,4,1e-06
25,6,5,0.07560159553115976
25,6,6,0.0
25,6,7,1e-06
25,6,8,1e-06
25,6,9,1e-06
25,6,10,1e-06
25,6,11,1e-06
25,7,1,0.14484502726629858
25,7,2,1e-06
25,7,3,1e-06
25,7,4,1e-06
25,7,5,1e-06
25,7,6,1e-06
25,7,7,0.0
25,7,8,1e-06
25,7,9,1e-06
25,7,10,1e-06
25,7,11,1e-06
25,8,1,1e-06
25,8,2,1e-06
25,8,3,1e-06
25,8,4,1e-06
25,8,5,1e-06
25,8,6,1e-06
25,8,7,1e-06
25,8,8,0.0
25,8,9,1e-06
25,8,10,1e-06
25,8,11,1e-06
25,9,1,1e-06
25,9,2,1e-06
25,9,3,1e-06
25,9,4,1e-06
25,9,5,1e-06
25,9,6,1e-06
25,9,7,1e-06
25,9,8,1e-06
25,9,9,0.0
25,9,10,1e-06
25,9,11,1e-06
25,10,1,1e-06
25,10,2,1e-06
25,10,3,1e-06
25,10,4,0.03641882798848514
25,10,5,1e-06
25,10,6,1e-06
25,10,7,1e-06
25,10,8,1e-06
25,10,9,1e-06
25,10,10,0.0
25,10,11,1e-06
25,11,1,1e-06
25,11,2,1e-06
25,11,3,1e-06
25,11,4,1e-06
25,11,5,1e-06
25,11,6,1e-06
25,11,7,1e-06
25,11,8,1e-06
25,11,9,1e-06
25,11,10,1e-06
25,11,11,0.0
26,1,1,0.0
26,1,2,0.022447252130272415
26,1,3,1e-06
26,1,4,1e-06
26,1,5,1e-06
26,1,6,1e-06
26,1,7,0.09790299679995314
26,1,8,1e-06
26,1,9,1e-06
26,1,10,1e-06
26,1,11,1e-06
26,2,1,0.022447252130272415
26,2,2,0.0
26,2,3,1e-06
26,2,4,1e-06
26,2,5,1e-06
26,2,6,1e-06
26,2,7,0.008771518651205642
26,2,8,1e-06
26,2,9,1e-06
26,2,10,1e-06
26,2,11,1e-06
26,3,1,1e-06
26,3,2,1e-06
26,3,3,0.0
26,3,4,1e-06
26,3,5,1e-06
26,3,6,1e-06
26,3,7,1e-06
26,3,8,1e-06
26,3,9,1e-06
26,3,10,1e-06
26,3,11,1e-06
26,4,1,1e-06
26,4,2,1e-06
26,4,3,1e-06
26,4,4,0.0
26,4,5,1e-06
26,4,6,1e-06
26,4,7,1e-06
26,4,8,1e-06
26,4,9,1e-06
26,4,10,1e-06
26,4,11,1e-06
26,5,1,1e-06
26,5,2,1e-06
26,5,3,1e-06
26,5,4,1e-06
26,5,5,0.0
26,5,6,1e-06
26,5,7,1e-06
26,5,8,1e-06
26,5,9,1e-06
26,5,10,1e-06
26,5,11,1e-06
26,6,1,1e-06
26,6,2,1e-06
26,6,3,1e-06
26,6,4,1e-06
26,6,5,1e-06
26,6,6,0.0
26,6,7,1e-06
26,6,8,1e-06
26,6,9,1e-06
26,6,10,1e-06
26,6,11,0.027387563778634404
26,7,1,0.09790299679995314
26,7,2,0.008771518651205642
26,7,3,1e-06
26,7,4,1e-06
26,7,5,1e-06
26,7,6,1e-06
26,7,7,0.0
26,7,8,1e-06
26,7,9,1e-06
26,7,10,1e-06
26,7,11,1e-06
26,8,1,1e-06
26,8,2,1e-06
26,8,3,1e-06
26,8,4,1e-06
26,8,5,1e-06
26,8,6,1e-06
26,8,7,1e-06
26,8,8,0.0
26,8,9,1e-06
26,8,10,1e-06
26,8,11,1e-06
26,9,1,1e-06
26,9,2,1e-06
26,9,3,1e-06
26,9,4,1e-06
26,9,5,1e-06
26,9,6,1e-06
26,9,7,1e-06
26,9,8,1e-06
26,9,9,0.0
26,9,10,1e-06
26,9,11,1e-06
26,10,1,1e-06
26,10,2,1e-06
26,10,3,1e-06
26,10,4,1e-06
26,10,5,1e-06
26,10,6,1e-06
26,10,7,1e-06
26,10,8,1e-06
26,10,9,1e-06
26,10,10,0.0
26,10,11,1e-06
26,11,1,1e-06
26,11,2,1e-06
26,11,3,1e-06
26,11,4,1e-06
26,11,5,1e-06
26,11,6,0.027387563778634404
26,11,7,1e-06
26,11,8,1e-06
26,11,9,1e-06
26,11,10,1e-06
26,11,11,0.0
27,1,1,0.0
27,1,2,1e-06
27,1,3,1e-06
27,1,4,1e-06
27,1,5,1e-06
27,1,6,1e-06
27,1,7,0.040517674087121286
27,1,8,1e-06
27,1,9,1e-06
27,1,10,1e-06
27,1,11,0.025199891979643636
27,2,1,1e-06
27,2,2,0.0
27,2,3,1e-06
27,2,4,1e-06
27,2,5,1e-06
27,2,6,1e-06
27,2,7,1e-06
27,2,8,1e-06
27,2,9,1e-06
27,2,10,1e-06
27,2,11,1e-06
27,3,1,1e-06
27,3,2,1e-06
27,3,3,0.0
27,3,4,1e-06
27,3,5,1e-06
27,3,6,1e-06
27,3,7,1e-06
27,3,8,1e-06
27,3,9,1e-06
27,3,10,1e-06
27,3,11,1e-06
27,4,1,1e-06
27,4,2,1e-06
27,4,3,1e-06
27,4,4,0.0
27,4,5,1e-06
27,4,6,1e-06
27,4,7,1e-06
27,4,8,1e-06
27,4,9,1e-06
27,4,10,1e-06
27,4,11,1e-06
27,5,1,1e-06
27,5,2,1e-06
27,5,3,1e-06
27,5,4,1e-06
27,5,5,0.0
27,5,6,1e-06
27,5,7,1e-06
27,5,8,1e-06
27,5,9,1e-06
27,5,10,1e-06
27,5,11,0.0024215436228612565
27,6,1,1e-06
27,6,2,1e-06
27,6,3,1e-06
27,6,4,1e-06
27,6,5,1e-06
27,6,6,0.0
27,6,7,1e-06
27,6,8,1e-06
27,6,9,1e-06
27,6,10,0.03220125275817315
27,6,11,0.02289755694574204
27,7,1,0.040517674087121286
27,7,2,1e-06
27,7,3,1e-06
27,7,4,1e-06
27,7,5,1e-06
27,7,6,1e-06
27,7,7,0.0
27,7,8,1e-06
27,7,9,1e-06
27,7,10,1e-06
27,7,11,1e-06
27,8,1,1e-06
27,8,2,1e-06
27,8,3,1e-06
27,8,4,1e-06
27,8,5,1e-06
27,8,6,1e-06
27,8,7,1e-06
27,8,8,0.0
27,8,9,1e-06
27,8,10,1e-06
27,8,11,0.0081187856982729
27,9,1,1e-06
27,9,2,1e-06
27,9,3,1e-06
27,9,4,1e-06
27,9,5,1e-06
27,9,6,1e-06
27,9,7,1e-06
27,9,8,1e-06
27,9,9,0.0
27,9,10,1e-06
27,9,11,1e-06
27,10,1,1e-06
27,10,2,1e-06
27,10,3,1e-06
27,10,4,1e-06
27,10,5,1e-06
27,10,6,0.03220125275817315
27,10,7,1e-06
27,10,8,1e-06
27,10,9,1e-06
27,10,10,0.0
27,10,11,1e-06
27,11,1,0.025199891979643636
27,11,2,1e-06
27,11,3,1e-06
27,11,4,1e-06
27,11,5,0.0024215436228612565
27,11,6,0.02289755694574204
27,11,7,1e-06
27,11,8,0.0081187856982729
27,11,9,1e-06
27,11,10,1e-06
27,11,11,0.0
28,1,1,0.0
28,1,2,0.008561694215377863
28,1,3,1e-06
28,1,4,1e-06
28,1,5,1e-06
28,1,6,1e-06
28,1,7,1e-06
28,1,8,1e-06
28,1,9,1e-06
28,1,10,0.008077274796871398
28,1,11,0.019715971900125934
28,2,1,0.008561694215377863
28,2,2,0.0
28,2,3,0.005199854816533833
28,2,4,1e-06
28,2,5,0.008662875808847904
28,2,6,1e-06
28,2,7,1e-06
28,2,8,1e-06
28,2,9,0.054020582048104275
28,2,10,1e-06
28,2,11,1e-06
28,3,1,1e-06
28,3,2,0.005199854816533833
28,3,3,0.0
28,3,4,1e-06
28,3,5,1e-06
28,3,6,1e-06
28,3,7,1e-06
28,3,8,1e-06
28,3,9,1e-06
28,3,10,1e-06
28,3,11,0.03134590724468541
28,4,1,1e-06
28,4,2,1e-06
28,4,3,1e-06
28,4,4,0.0
28,4,5,0.02320802284308033
28,4,6,1e-06
28,4,7,1e-06
28,4,8,1e-06
28,4,9,1e-06
28,4,10,1e-06
28,4,11,1e-06
28,5,1,1e-06
28,5,2,0.008662875808847904
28,5,3,1e-06
28,5,4,0.02320802284308033
28,5,5,0.0
28,5,6,1e-06
28,5,7,1e-06
28,5,8,1e-06
28,5,9,1e-06
28,5,10,1e-06
28,5,11,1e-06
28,6,1,1e-06
28,6,2,1e-06
28,6,3,1e-06
28,6,4,1e-06
28,6,5,1e-06
28,6,6,0.0
28,6,7,1e-06
28,6,8,1e-06
28,6,9,1e-06
28,6,10,0.009784373490324455
28,6,11,1e-06
28,7,1,1e-06
28,7,2,1e-06
28,7,3,1e-06
28,7,4,1e-06
28,7,5,1e-06
28,7,6,1e-06
28,7,7,0.0
28,7,8,1e-06
28,7,9,1e-06
28,7,10,1e-06
28,7,11,1e-06
28,8,1,1e-06
28,8,2,1e-06
28,8,3,1e-06
28,8,4,1e-06
28,8,5,1e-06
28,8,6,1e-06
28,8,7,1e-06
28,8,8,0.0
28,8,9,1e-06
28,8,10,1e-06
28,8,11,1e-06
28,9,1,1e-06
28,9,2,0.054020582048104275
28,9,3,1e-06
28,9,4,1e-06
28,9,5,1e-06
28,9,6,1e-06
28,9,7,1e-06
28,9,8,1e-06
28,9,9,0.0
28,9,10,1e-06
28,9,11,1e-06
28,10,1,0.008077274796871398
28,10,2,1e-06
28,10,3,1e-06
28,10,4,1e-06
28,10,5,1e-06
28,10,6,0.009784373490324455
28,10,7,1e-06
28,10,8,1e-06
28,10,9,1e-06
28,10,10,0.0
28,10,11,1e-06
28,11,1,0.019715971900125934
28,11,2,1e-06
28,11,3,0.03134590724468541
28,11,4,1e-06
28,11,5,1e-06
28,11,6,1e-06
28,11,7,1e-06
28,11,8,1e-06
28,11,9,1e-06
28,11,10,1e-06
28,11,11,0.0
29,1,1,0.0
29,1,2,1e-06
29,1,3,1e-06
29,1,4,1e-06
29,1,5,0.018755231880582104
29,1,6,1e-06
29,1,7,1e-06
29,1,8,1e-06
29,1,9,1e-06
29,1,10,1e-06
29,1,11,0.03709056511130775
29,2,1,1e-06
29,2,2,0.0
29,2,3,1e-06
29,2,4,1e-06
29,2,5,0.0309178582919776
29,2,6,1e-06
29,2,7,1e-06
29,2,8,1e-06
29,2,9,0.0485847991864073
29,2,10,1e-06
29,2,11,1e-06
29,3,1,1e-06
29,3,2,1e-06
29,3,3,0.0
29,3,4,1e-06
29,3,5,1e-06
29,3,6,1e-06
29,3,7,1e-06
29,3,8,1e-06
29,3,9,1e-06
29,3,10,1e-06
29,3,11,1e-06
29,4,1,1e-06
29,4,2,1e-06
29,4,3,1e-06
29,4,4,0.0
29,4,5,1e-06
29,4,6,1e-06
29,4,7,1e-06
29,4,8,1e-06
29,4,9,1e-06
29,4,10,0.029260207383366012
29,4,11,1e-06
29,5,1,0.018755231880582104
29,5,2,0.0309178582919776
29,5,3,1e-06
29,5,4,1e-06
29,5,5,0.0
29,5,6,1e-06
29,5,7,1e-06
29,5,8,1e-06
29,5,9,1e-06
29,5,10,1e-06
29,5,11,1e-06
29,6,1,1e-06
29,6,2,1e-06
29,6,3,1e-06
29,6,4,1e-06
29,6,5,1e-06
29,6,6,0.0
29,6,7,1e-06
29,6,8,1e-06
29,6,9,1e-06
29,6,10,1e-06
29,6,11,0.059579123628617336
29,7,1,1e-06
29,7,2,1e-06
29,7,3,1e-06
29,7,4,1e-06
29,7,5,1e-06
29,7,6,1e-06
29,7,7,0.0
29,7,8,1e-06
29,7,9,1e-06
29,7,10,1e-06
29,7,11,1e-06
29,8,1,1e-06
29,8,2,1e-06
29,8,3,1e-06
29,8,4,1e-06
29,8,5,1e-06
29,8,6,1e-06
29,8,7,1e-06
29,8,8,0.0
29,8,9,1e-06
29,8,10,1e-06
29,8,11,0.005969344967906179
29,9,1,1e-06
29,9,2,0.0485847991864073
29,9,3,1e-06
29,9,4,1e-06
29,9,5,1e-06
29,9,6,1e-06
29,9,7,1e-06
29,9,8,1e-06
29,9,9,0.0
29,9,10,1e-06
29,9,11,1e-06
29,10,1,1e-06
29,10,2,1e-06
29,10,3,1e-06
29,10,4,0.029260207383366012
29,10,5,1e-06
29,10,6,1e-06
29,10,7,1e-06
29,10,8,1e-06
29,10,9,1e-06
29,10,10,0.0
29,10,11,1e-06
29,11,1,0.03709056511130775
29,11,2,1e-06
29,11,3,1e-06
29,11,4,1e-06
29,11,5,1e-06
29,11,6,0.059579123628617336
29,11,7,1e-06
29,11,8,0.005969344967906179
29,11,9,1e-06
29,11,10,1e-06
29,11,11,0.0
30,1,1,0.0
30,1,2,1e-06
30,1,3,1e-06
30,1,4,1e-06
30,1,5,1e-06
30,1,6,1e-06
30,1,7,1e-06
30,1,8,1e-06
30,1,9,1e-06
30,1,10,0.02705930230503109
30,1,11,0.05685310607556696
30,2,1,1e-06
30,2,2,0.0
30,2,3,1e-06
30,2,4,0.004600402515661332
